customer_id,birth_year,annual_income,num_children,num_teenagers,signup_date,days_since_last_purchase,has_recent_complaint,spend_wine,spend_fruits,spend_meat,spend_fish,spend_sweets,spend_gold,num_discount_purchases,num_web_purchases,num_catalog_purchases,num_store_purchases,web_visits_last_month,accepted_campaign_1,accepted_campaign_2,accepted_campaign_3,accepted_campaign_4,accepted_campaign_5,accepted_last_campaign,marital_status_Absurd,marital_status_Alone,marital_status_Divorced,marital_status_Married,marital_status_Single,marital_status_Together,marital_status_Widow,marital_status_YOLO,education_level_encoded
5524,1957,58138.0,0,0,4/9/2012,58,0,635,81,546,120.5,81,88.0,3,8,10,4,7,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2174,1954,46344.0,1,1,8/3/2014,38,0,11,1,6,2.0,1,6.0,2,1,1,2,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
4141,1965,71613.0,0,0,21-08-2013,26,0,426,49,127,111.0,21,42.0,1,8,2,10,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
6182,1984,26646.0,1,0,10/2/2014,26,0,11,4,20,10.0,3,5.0,2,2,0,4,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
5324,1981,58293.0,1,0,19-01-2014,94,0,173,43,118,46.0,27,15.0,5,5,3,6,5,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
7446,1967,62513.0,0,1,9/9/2013,16,0,520,42,98,0.0,42,14.0,2,6,4,10,6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
965,1971,55635.0,0,1,13-11-2012,34,0,235,65,164,50.0,49,27.0,4,7,3,7,6,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
6177,1985,33454.0,1,0,8/5/2013,32,0,76,10,56,3.0,1,23.0,2,4,0,4,8,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
4855,1974,30351.0,1,0,6/6/2013,19,0,14,0,24,3.0,3,2.0,1,3,0,2,9,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
5899,1950,5648.0,1,1,13-03-2014,68,0,28,0,6,1.0,1,13.0,1,1,0,0,20,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
1994,1983,51411.0,1,0,15-11-2013,11,0,5,5,6,0.0,2,1.0,1,1,0,2,7,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
387,1976,7500.0,0,0,13-11-2012,59,0,6,16,11,11.0,1,16.0,1,2,0,3,8,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2125,1959,63033.0,0,0,15-11-2013,82,0,194,61,480,120.5,81,30.0,1,3,4,8,2,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
